Angle (radians),Range
-0.3327,4.392
-0.3272,4.392
-0.3218,4.376
-0.3163,4.376
-0.3109,4.384
-0.3054,4.384
-0.3,4.352
-0.2945,4.352
-0.2891,4.296
-0.2836,4.296
-0.2782,0
-0.2727,0
-0.2673,0
-0.2618,9.784
-0.2563,9.784
-0.2509,9.784
-0.2454,9.784
-0.24,9.816
-0.2345,9.816
-0.2291,9.696
-0.2236,9.696
-0.2182,9.664
-0.2127,9.664
-0.2073,9.656
-0.2018,9.656
-0.1963,0
-0.1909,0
-0.1854,0
-0.18,0
-0.1745,0
-0.1691,0
-0.1636,13.816
-0.1582,13.816
-0.1527,13.816
-0.1473,13.816
-0.1418,0
-0.1364,0
-0.1309,0
-0.1254,0
-0.12,0
-0.1145,0
-0.1091,0
-0.1036,0
-0.0982,16.352
-0.0927,16.352
-0.0873,16.352
-0.0818,16.352
-0.0764,0
-0.0709,0
-0.0654,0
-0.06,0
-0.0545,0
-0.0491,0
-0.0436,0
-0.0382,0
-0.0327,0
-0.0273,0
-0.0218,0
-0.0164,0
-0.0109,0
-0.0055,0
0.0,0
0.0055,0
0.0109,0
0.0164,0
0.0218,0
0.0273,0
0.0327,0
0.0382,0
0.0436,0
0.0491,0
0.0545,0
0.06,0
0.0654,0
0.0709,0
0.0764,0
0.0818,0
0.0873,0
0.0927,0
0.0982,0
0.1036,0
0.1091,0
0.1145,0
0.12,0
0.1254,0
0.1309,0
0.1364,0
0.1418,0
0.1473,0
0.1527,0
0.1582,0
0.1636,0
0.1691,0
0.1745,0
0.18,0
0.1854,0
0.1909,13.744
0.1963,13.744
0.2018,13.744
0.2073,13.744
0.2127,0
0.2182,0
0.2236,0
0.2291,0
0.2345,0
0.24,0
0.2454,0
0.2509,0
0.2563,10.544
0.2618,10.544
0.2673,10.544
0.2727,10.544
0.2782,10.592
0.2836,10.592
0.2891,10.672
0.2945,10.672
0.3,10.688
0.3054,10.688
0.3109,10.704
0.3163,10.704
0.3218,0
0.3272,0
0.3327,0
0.3382,0
0.3436,0
0.3491,0
0.3545,9.624
0.36,9.624
0.3654,9.624
0.3709,9.624
0.3763,0
0.3818,0
0.3872,9.72
0.3927,9.72
0.3982,9.72
0.4036,9.72
0.4091,9.752
0.4145,9.752
0.42,9.824
0.4254,9.824
0.4309,9.888
0.4363,9.888
0.4418,9.88
0.4472,9.88
0.4527,9.904
0.4581,9.904
0.4636,10.016
0.4691,10.016
0.4745,0
0.48,0
0.4854,0
0.4909,0
0.4963,0.458
0.5018,0.458
0.5072,0.458
0.5127,0.458
0.5181,0.453
0.5236,0.453
0.5291,0.45
0.5345,0.45
0.54,0.448
0.5454,0.448
0.5509,0.446
0.5563,0.446
0.5618,0.443
0.5672,0.443
0.5727,0.44
0.5781,0.44
0.5836,0.437
0.589,0.437
0.5945,0.435
0.6,0.435
0.6054,0.434
0.6109,0.434
0.6163,0.434
0.6218,0.434
0.6272,0.434
0.6327,0.434
0.6381,0
0.6436,0
0.649,0
0.6545,0
0.66,0
0.6654,0
0.6709,0
0.6763,0
0.6818,0
0.6872,0
0.6927,0
0.6981,0
0.7036,0
0.709,0
0.7145,0
0.7199,0
0.7254,0
0.7309,0
0.7363,0
0.7418,0
0.7472,0
0.7527,0
0.7581,0
0.7636,0
0.769,0
0.7745,0
0.7799,0
0.7854,0
0.7909,0
0.7963,0
0.8018,0.568
0.8072,0.568
0.8127,0.568
0.8181,0.568
0.8236,0.566
0.829,0.566
0.8345,0.572
0.8399,0.572
0.8454,0.58
0.8508,0.58
0.8563,0.586
0.8618,0.586
0.8672,0
0.8727,0
0.8781,0
0.8836,0
0.889,0.476
0.8945,0.476
0.8999,0.476
0.9054,0.476
0.9108,0.477
0.9163,0.477
0.9218,0.477
0.9272,0.477
0.9327,0.475
0.9381,0.475
0.9436,0.474
0.949,0.474
0.9545,0.478
0.9599,0.478
0.9654,0.482
0.9708,0.482
0.9763,0.487
0.9817,0.487
0.9872,0.492
0.9927,0.492
0.9981,0.502
1.0036,0.502
1.009,0.509
1.0145,0.509
1.0199,0.492
1.0254,0.492
1.0308,0.492
1.0363,0.492
1.0417,0.486
1.0472,0.486
1.0527,0
1.0581,0
1.0636,0
1.069,0
1.0745,0
1.0799,0
1.0854,0
1.0908,0
1.0963,0
1.1017,0
1.1072,0
1.1126,0
1.1181,0
1.1236,0
1.129,0
1.1345,0
1.1399,0
1.1454,0
1.1508,0
1.1563,2.936
1.1617,2.936
1.1672,2.936
1.1726,2.936
1.1781,2.924
1.1836,2.924
1.189,2.924
1.1945,2.924
1.1999,2.916
1.2054,2.916
1.2108,2.904
1.2163,2.904
1.2217,2.884
1.2272,2.884
1.2326,2.868
1.2381,2.868
1.2435,2.86
1.249,2.86
1.2545,2.848
1.2599,2.848
1.2654,2.832
1.2708,2.832
1.2763,2.82
1.2817,2.82
1.2872,2.812
1.2926,2.812
1.2981,2.804
1.3035,2.804
1.309,2.796
1.3145,2.796
1.3199,2.792
1.3254,2.792
1.3308,2.784
1.3363,2.784
1.3417,2.776
1.3472,2.776
1.3526,2.768
1.3581,2.768
1.3635,2.756
1.369,2.756
1.3744,2.744
1.3799,2.744
1.3854,2.728
1.3908,2.728
1.3963,2.72
1.4017,2.72
1.4072,2.72
1.4126,2.72
1.4181,2.708
1.4235,2.708
1.429,2.704
1.4344,2.704
1.4399,2.704
1.4454,2.704
1.4508,2.696
1.4563,2.696
1.4617,2.688
1.4672,2.688
1.4726,2.684
1.4781,2.684
1.4835,2.68
1.489,2.68
1.4944,2.676
1.4999,2.676
1.5053,2.672
1.5108,2.672
1.5163,2.676
1.5217,2.676
1.5272,2.668
1.5326,2.668
1.5381,2.656
1.5435,2.656
1.549,2.656
1.5544,2.656
1.5599,2.664
1.5653,2.664
1.5708,2.66
1.5763,2.66
1.5817,2.652
1.5872,2.652
1.5926,2.648
1.5981,2.648
1.6035,2.648
1.609,2.648
1.6144,2.648
1.6199,2.648
1.6253,2.644
1.6308,2.644
1.6362,2.648
1.6417,2.648
1.6472,2.656
1.6526,2.656
1.6581,2.66
1.6635,2.66
1.669,2.66
1.6744,2.66
1.6799,2.66
1.6853,2.664
1.6908,2.664
1.6962,2.668
1.7017,2.668
1.7072,2.672
1.7126,2.672
1.7181,2.676
1.7235,2.676
1.729,2.684
1.7344,2.684
1.7399,2.692
1.7453,2.692
1.7508,2.7
1.7562,2.7
1.7617,2.7
1.7671,2.7
1.7726,2.7
1.7781,2.7
1.7835,2.708
1.789,2.708
1.7944,2.716
1.7999,2.716
1.8053,2.724
1.8108,2.724
1.8162,2.728
1.8217,2.728
1.8271,2.74
1.8326,2.74
1.8381,2.74
1.8435,2.752
1.849,2.752
1.8544,2.768
1.8599,2.768
1.8653,2.776
1.8708,2.776
1.8762,2.78
1.8817,2.78
1.8871,2.788
